name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
Blue Streak,PG-13,Action,1999,"September 17, 1999 (United States)",6.3,77000,LES MAYFIELD,Michael Berry,Martin Lawrence,GERMANY,65000000,117758500.0,Columbia Pictures,"93.0,"
The Limey,R,Crime,1999,"August 4, 1999 (France)",7.0,31000,STEVEN SODERBERGH,Lem Dobbs,Terence Stamp,UNITED STATES,10000000,3325736.0,Artisan Entertainment,"89.0,"
Message in a Bottle,PG-13,Drama,1999,"February 12, 1999 (United States)",6.2,37000,LUIS MANDOKI,Nicholas Sparks,Kevin Costner,UNITED STATES,80000000,118880016.0,Warner Bros.,"126.0,"
Stigmata,R,Horror,1999,"September 10, 1999 (United States)",6.2,66000,RUPERT WAINWRIGHT,Tom Lazarus,Patricia Arquette,UNITED STATES,29000000,89446268.0,Metro-Goldwyn-Mayer (MGM),"103.0,"
A Midsummer Night's Dream,PG-13,Comedy,1999,"May 14, 1999 (United States)",6.4,25000,MICHAEL HOFFMAN,William Shakespeare,Kevin Kline,UNITED KINGDOM,11000000,16071990.0,Fox Searchlight Pictures,"116.0,"
The Other Sister,PG-13,Comedy,1999,"February 26, 1999 (United States)",6.5,12000,GARRY MARSHALL,Alexandra Rose,Juliette Lewis,UNITED STATES,35000000,27807627.0,Mandeville Films,"129.0,"
Analyze This,R,Comedy,1999,"March 5, 1999 (United States)",6.7,148000,HAROLD RAMIS,Kenneth Lonergan,Robert De Niro,UNITED STATES,80000000,176885658.0,Village Roadshow Pictures,"103.0,"
Human Traffic,R,Comedy,1999,"May 5, 2000 (United States)",7.1,24000,JUSTIN KERRIGAN,Justin Kerrigan,John Simm,UNITED KINGDOM,0,104257.0,Irish Screen,"99.0,"
Brokedown Palace,PG-13,Drama,1999,"August 13, 1999 (United States)",6.5,22000,JONATHAN KAPLAN,Adam Fields,Claire Danes,UNITED STATES,25000000,10115013.0,Fox 2000 Pictures,"100.0,"
Virus,R,Action,1999,"January 15, 1999 (United States)",5.0,27000,JOHN BRUNO,Chuck Pfarrer,Jamie Lee Curtis,UNITED STATES,75000000,30657854.0,Mutual Film Company,"99.0,"
Superstar,PG-13,Comedy,1999,"October 8, 1999 (United States)",5.1,18000,BRUCE MCCULLOCH,Molly Shannon,Molly Shannon,UNITED STATES,34000000,30636478.0,Broadway Pictures,"81.0,"
The Best Man,R,Comedy,1999,"October 22, 1999 (United States)",6.8,9700,MALCOLM D. LEE,Malcolm D. Lee,Taye Diggs,UNITED STATES,9000000,34573780.0,40 Acres & A Mule Filmworks,"120.0,"
Dick,PG-13,Comedy,1999,"August 4, 1999 (United States)",6.2,19000,ANDREW FLEMING,Andrew Fleming,Kirsten Dunst,UNITED STATES,13000000,6262878.0,Canal+ Droits Audiovisuels,"94.0,"
The War Zone,R,Drama,1999,"June 11, 1999 (Italy)",7.3,9800,TIM ROTH,Alexander Stuart,Ray Winstone,ITALY,0,254441.0,Channel Four Films,"98.0,"
True Crime,R,Crime,1999,"March 19, 1999 (United States)",6.6,33000,CLINT EASTWOOD,Andrew Klavan,Clint Eastwood,UNITED STATES,55000000,16649768.0,Warner Bros.,"127.0,"
Titus,R,Drama,1999,"February 11, 2000 (United States)",7.1,20000,JULIE TAYMOR,William Shakespeare,Anthony Hopkins,UNITED KINGDOM,0,2259680.0,Clear Blue Sky Productions,"162.0,"
Forces of Nature,PG-13,Comedy,1999,"March 19, 1999 (United States)",5.4,33000,BRONWEN HUGHES,Marc Lawrence,Sandra Bullock,UNITED STATES,75000000,93900680.0,Dreamworks Pictures,"105.0,"
Better Than Chocolate,R,Comedy,1999,"August 13, 1999 (Canada)",6.1,8000,ANNE WHEELER,Peggy Thompson,Wendy Crewson,CANADA,0,2015406.0,British Columbia Film,"101.0,"
Body Shots,R,Drama,1999,"January 21, 2000 (Spain)",4.9,5300,MICHAEL CRISTOFER,David McKenna,Joe Basile,UNITED STATES,0,752122.0,New Line Cinema,"106.0,"
Angela's Ashes,R,Biography,1999,"January 21, 2000 (United States)",7.3,21000,ALAN PARKER,Frank McCourt,Emily Watson,UNITED STATES,50000000,13042112.0,David Brown Productions,"145.0,"
Universal Soldier: the Return,R,Action,1999,"August 20, 1999 (United States)",4.2,28000,MIC RODGERS,Richard Rothstein,Jean-Claude Van Damme,UNITED STATES,45000000,10667893.0,TriStar Pictures,"83.0,"
Anna and the King,PG-13,Drama,1999,"December 17, 1999 (United States)",6.7,36000,ANDY TENNANT,Anna Leonowens,Jodie Foster,UNITED STATES,92000000,113996937.0,Fox 2000 Pictures,"148.0,"
The End of the Affair,R,Drama,1999,"January 21, 2000 (United States)",7.1,22000,NEIL JORDAN,Graham Greene,Ralph Fiennes,UNITED KINGDOM,23000000,10827816.0,Columbia Pictures,"102.0,"
"Mystery, Alaska",R,Comedy,1999,"October 1, 1999 (United States)",6.7,26000,JAY ROACH,David E. Kelley,Russell Crowe,CANADA,28000000,8891623.0,Baldwin/Cohen Productions,"119.0,"
Baby Geniuses,PG,Comedy,1999,"March 12, 1999 (United States)",2.7,26000,BOB CLARK,Steven Paul,Kathleen Turner,UNITED STATES,12000000,36450736.0,Crystal Sky Worldwide,"97.0,"
My Favorite Martian,PG,Comedy,1999,"February 12, 1999 (United States)",5.1,13000,DONALD PETRIE,John L. Greene,Christopher Lloyd,UNITED STATES,65000000,36850101.0,Walt Disney Pictures,"94.0,"
Anywhere But Here,PG-13,Comedy,1999,"November 12, 1999 (United States)",6.2,17000,WAYNE WANG,Mona Simpson,Susan Sarandon,UNITED STATES,23000000,23631929.0,Fox 2000 Pictures,"114.0,"
Ride with the Devil,R,Drama,1999,"November 5, 1999 (United Kingdom)",6.7,13000,ANG LEE,Daniel Woodrell,Tobey Maguire,UNITED STATES,38000000,635096.0,Universal Pictures,"138.0,"
200 Cigarettes,R,Comedy,1999,"February 26, 1999 (United States)",6.0,15000,RISA BRAMON GARCIA,Shana Larsen,Ben Affleck,UNITED STATES,6000000,6852450.0,Dogstar Films,"101.0,"
Edtv,PG-13,Comedy,1999,"March 26, 1999 (United States)",6.1,42000,RON HOWARD,Émile Gaudreault,Matthew McConaughey,UNITED STATES,80000000,35242897.0,Imagine Entertainment,"122.0,"
Sunshine,R,Drama,1999,"July 14, 2000 (United States)",7.5,13000,ISTVÁN SZABÓ,István Szabó,Ralph Fiennes,GERMANY,0,7918035.0,Alliance Atlantis Communications,"181.0,"
Random Hearts,R,Drama,1999,"October 8, 1999 (United States)",5.2,20000,SYDNEY POLLACK,Warren Adler,Harrison Ford,UNITED STATES,64000000,74608570.0,Columbia Pictures,"133.0,"
Mickey Blue Eyes,PG-13,Comedy,1999,"August 20, 1999 (United States)",5.9,36000,KELLY MAKIN,Adam Scheinman,Hugh Grant,UNITED KINGDOM,75000000,54264342.0,Castle Rock Entertainment,"102.0,"
Asterix and Obelix vs. Caesar,Not Rated,Adventure,1999,"July 14, 2000 (United States)",6.0,40000,CLAUDE ZIDI,René Goscinny,Christian Clavier,FRANCE,0,1632567.0,AMLF,"109.0,"
Fantasia 2000,G,Animation,1999,"June 16, 2000 (United States)",7.2,36000,DIRECTORS,Eric Goldberg,James Levine,UNITED STATES,80000000,90874570.0,Walt Disney Pictures,"75.0,"
The Rage: Carrie 2,R,Horror,1999,"March 12, 1999 (United States)",4.7,16000,KATT SHEA,Stephen King,Emily Bergl,UNITED STATES,21000000,17762705.0,United Artists,"104.0,"
The Astronaut's Wife,R,Drama,1999,"August 27, 1999 (United States)",5.4,54000,RAND RAVICH,Rand Ravich,Charlize Theron,UNITED STATES,75000000,19598588.0,New Line Cinema,"109.0,"
Muppets from Space,G,Adventure,1999,"July 14, 1999 (United States)",6.3,18000,TIM HILL,Jerry Juhl,Dave Goelz,UNITED STATES,24000000,22323612.0,Jim Henson Pictures,"87.0,"
The Wind Will Carry Us,Not Rated,Drama,1999,"November 24, 1999 (France)",7.5,9600,ABBAS KIAROSTAMI,Mahmoud Aiden,Behzad Dorani,IRAN,0,259510.0,MK2 Productions,"118.0,"
Eye of the Beholder,R,Drama,1999,"January 28, 2000 (United States)",5.0,15000,STEPHAN ELLIOTT,Marc Behm,Ewan McGregor,CANADA,35000000,17589705.0,Ambridge Film Partnership,"109.0,"
The Wood,R,Comedy,1999,"July 16, 1999 (United States)",7.0,8700,RICK FAMUYIWA,Rick Famuyiwa,Elayn J. Taylor,UNITED STATES,6000000,25059640.0,Bona Fide Productions,"106.0,"
Flawless,R,Comedy,1999,"November 24, 1999 (United States)",6.5,18000,JOEL SCHUMACHER,Joel Schumacher,Robert De Niro,UNITED STATES,15000000,4488529.0,Tribeca Productions,"112.0,"
Love Stinks,R,Comedy,1999,"September 10, 1999 (United States)",5.8,5000,JEFF FRANKLIN,Jeff Franklin,French Stewart,UNITED STATES,4000000,2924635.0,Baumgarten-Prophet Entertainment,"94.0,"
Pushing Tin,R,Comedy,1999,"April 23, 1999 (United States)",6.0,29000,MIKE NEWELL,Darcy Frey,John Cusack,UNITED STATES,33000000,8408835.0,3 Miles Apart Productions Ltd.,"124.0,"
The Adventures of Elmo in Grouchland,G,Adventure,1999,"October 1, 1999 (United States)",5.8,3100,GARY HALVORSON,Mitchell Kriegman,Kevin Clash,UNITED STATES,26000000,11683047.0,Jim Henson Pictures,"73.0,"
In Dreams,R,Drama,1999,"January 15, 1999 (United States)",5.5,13000,NEIL JORDAN,Bari Wood,Annette Bening,UNITED STATES,30000000,12017369.0,Amblin Entertainment,"100.0,"
Topsy-Turvy,R,Biography,1999,"February 11, 2000 (United States)",7.4,12000,MIKE LEIGH,Mike Leigh,Jim Broadbent,UNITED KINGDOM,0,6208548.0,Goldwyn Films,"160.0,"
Instinct,R,Drama,1999,"June 4, 1999 (United States)",6.6,32000,JON TURTELTAUB,Gerald Di Pego,Anthony Hopkins,UNITED STATES,80000000,34105207.0,Spyglass Entertainment,"126.0,"
Dudley Do-Right,PG,Comedy,1999,"August 27, 1999 (United States)",3.9,10000,HUGH WILSON,Jay Ward,Brendan Fraser,UNITED STATES,70000000,9974410.0,Universal Pictures,"77.0,"
The Deep End of the Ocean,PG-13,Drama,1999,"March 12, 1999 (United States)",6.4,13000,ULU GROSBARD,Jacquelyn Mitchard,Michelle Pfeiffer,UNITED STATES,38000000,28121100.0,Columbia Pictures,"106.0,"
Outside Providence,R,Comedy,1999,"September 1, 1999 (United States)",6.4,8600,MICHAEL CORRENTE,Peter Farrelly,Shawn Hatosy,UNITED STATES,7000000,7302522.0,Miramax,"96.0,"
Kikujiro,PG-13,Drama,1999,"May 26, 2000 (United States)",7.8,19000,TAKESHI KITANO,Takeshi Kitano,Takeshi Kitano,JAPAN,0,461259.0,Bandai Visual Company,"122.0,"
Simply Irresistible,PG-13,Comedy,1999,"February 5, 1999 (United States)",5.3,13000,MARK TARLOV,Judith Roberts,Sarah Michelle Gellar,GERMANY,6000000,4398989.0,New Regency Productions,"96.0,"
Godzilla 2000: Millennium,PG,Action,1999,"August 18, 2000 (United States)",6.1,7900,TAKAO OKAWARA,Hiroshi Kashiwabara,Takehiro Murata,JAPAN,13000000,12924063.0,Toho Pictures,"99.0,"
The Story of Us,R,Comedy,1999,"October 15, 1999 (United States)",6.0,22000,ROB REINER,Alan Zweibel,Bruce Willis,UNITED STATES,50000000,58900031.0,Castle Rock Entertainment,"95.0,"
East Is East,R,Comedy,1999,"June 2, 2000 (United States)",6.9,17000,DAMIEN O'DONNELL,Ayub Khan-Din,Om Puri,UNITED KINGDOM,0,4177818.0,FilmFour,"96.0,"
Pokémon the Movie 2000,G,Animation,1999,"July 21, 2000 (United States)",6.1,21000,MICHAEL HAIGNEY,Satoshi Tajiri,Veronica Taylor,JAPAN,30000000,133949270.0,4 Kids Entertainment,"99.0,"
Sweet and Lowdown,PG-13,Comedy,1999,"March 10, 2000 (United States)",7.2,33000,WOODY ALLEN,Woody Allen,Sean Penn,UNITED STATES,29750000,4525794.0,Sweetland Films,"95.0,"
Bats,PG-13,Horror,1999,"October 22, 1999 (United States)",3.9,9900,LOUIS MORNEAU,John Logan,Lou Diamond Phillips,UNITED STATES,5250000,10155690.0,Destination Films,"91.0,"
At First Sight,PG-13,Drama,1999,"January 15, 1999 (United States)",6.0,13000,IRWIN WINKLER,Oliver Sacks,Val Kilmer,UNITED STATES,60000000,22365133.0,Metro-Goldwyn-Mayer (MGM),"128.0,"
An Ideal Husband,PG-13,Comedy,1999,"June 30, 1999 (United States)",6.8,15000,OLIVER PARKER,Oscar Wilde,Rupert Everett,UNITED KINGDOM,14000000,18542974.0,Arts Council of England,"97.0,"
Coming Soon,R,Comedy,1999,"April 17, 1999 (United States)",4.4,1600,COLETTE BURSON,Colette Burson,Bonnie Root,UNITED STATES,0,5453.0,Bandeira Entertainment,"96.0,"
Tea with Mussolini,PG,Comedy,1999,"May 14, 1999 (United States)",6.9,12000,FRANCO ZEFFIRELLI,John Mortimer,Maggie Smith,ITALY,12000000,14401563.0,Medusa Film,"117.0,"
Gloria,R,Crime,1999,"January 22, 1999 (United States)",5.2,5500,SIDNEY LUMET,John Cassavetes,Sharon Stone,UNITED STATES,30000000,4197729.0,Columbia Pictures,"108.0,"
Cookie's Fortune,PG-13,Comedy,1999,"April 16, 1999 (United States)",6.9,13000,ROBERT ALTMAN,Anne Rapp,Glenn Close,UNITED STATES,10000000,10920544.0,Elysian Dreams,"118.0,"
Julien Donkey-Boy,R,Comedy,1999,"September 13, 2000 (France)",6.8,6900,HARMONY KORINE,Harmony Korine,Ewen Bremner,UNITED STATES,0,92442.0,391 Productions,"94.0,"
Three to Tango,PG-13,Comedy,1999,"October 22, 1999 (United States)",6.1,19000,DAMON SANTOSTEFANO,Rodney Patrick Vaccaro,Neve Campbell,AUSTRALIA,20000000,10570375.0,Warner Bros.,"98.0,"
Onegin,R,Drama,1999,"November 19, 1999 (United Kingdom)",6.8,7600,MARTHA FIENNES,Peter Ettedgui,Ralph Fiennes,UNITED KINGDOM,14000000,206128.0,7 Arts International,"106.0,"
Jin-Roh: The Wolf Brigade,R,Animation,1999,"November 17, 1999 (France)",7.4,16000,HIROYUKI OKIURA,Mamoru Oshii,Michael Dobson,JAPAN,0,94591.0,Bandai Visual Company,"102.0,"
Mumford,R,Comedy,1999,"September 24, 1999 (United States)",6.8,8900,LAWRENCE KASDAN,Lawrence Kasdan,Loren Dean,UNITED STATES,28000000,4555459.0,Touchstone Pictures,"112.0,"
Wing Commander,PG-13,Action,1999,"March 12, 1999 (United States)",4.3,16000,CHRIS ROBERTS,Chris Roberts,Freddie Prinze Jr.,UNITED STATES,30000000,11578059.0,Centurion,"100.0,"
The Corruptor,R,Action,1999,"March 12, 1999 (United States)",6.1,18000,JAMES FOLEY,Robert Pucci,Chow Yun-Fat,UNITED STATES,25000000,24493601.0,New Line Cinema,"110.0,"
Snow Falling on Cedars,PG-13,Drama,1999,"January 7, 2000 (United States)",6.8,14000,SCOTT HICKS,David Guterson,Ethan Hawke,UNITED STATES,35000000,23049593.0,Universal Pictures,"127.0,"
Music of the Heart,PG,Drama,1999,"October 29, 1999 (United States)",6.8,12000,WES CRAVEN,Pamela Gray,Meryl Streep,UNITED STATES,27000000,14936407.0,Craven-Maddalena Films,"124.0,"
The Love Letter,PG-13,Comedy,1999,"May 21, 1999 (United States)",5.5,4200,PETER HO-SUN CHAN,Cathleen Schine,Kate Capshaw,UNITED STATES,20000000,9177355.0,Dreamworks Pictures,"88.0,"
The Bachelor,PG-13,Comedy,1999,"November 5, 1999 (United States)",5.1,17000,GARY SINYOR,Roi Cooper Megrue,Chris O'Donnell,UNITED STATES,51000000,36911617.0,New Line Cinema,"101.0,"
In Too Deep,R,Crime,1999,"August 25, 1999 (United States)",6.3,6000,MICHAEL RYMER,Michael Henry Brown,Omar Epps,UNITED STATES,7000000,14011454.0,Dimension Films,"95.0,"
Black & White,R,Crime,1999,"April 5, 2000 (United States)",4.9,5600,JAMES TOBACK,James Toback,Ben Stiller,UNITED STATES,12000000,5541431.0,Bigel / Mailer Films,"98.0,"
Crazy in Alabama,PG-13,Comedy,1999,"October 22, 1999 (United States)",6.2,6700,ANTONIO BANDERAS,Mark Childress,Melanie Griffith,GERMANY,15000000,2005840.0,Columbia Pictures,"111.0,"
Lost & Found,PG-13,Comedy,1999,"April 23, 1999 (United States)",5.1,6200,JEFF POLLACK,J.B. Cook,David Spade,UNITED STATES,30000000,6552255.0,Alcon Entertainment,"100.0,"
The Piano Player,Not Rated,Romance,1999,"October 21, 1999 (Germany)",7.8,7400,ROLF SCHÜBEL,Ruth Toma,Joachim Król,GERMANY,0,646532.0,Studio Hamburg Filmproduktion,"112.0,"
The Mod Squad,R,Action,1999,"March 26, 1999 (United States)",4.3,8800,SCOTT SILVER,Buddy Ruskin,Claire Danes,UNITED STATES,50000000,13263993.0,Metro-Goldwyn-Mayer (MGM),"92.0,"
Best Laid Plans,R,Crime,1999,"May 14, 1999 (United Kingdom)",6.1,7400,MIKE BARKER,Ted Griffin,Alessandro Nivola,UNITED STATES,7000000,27816.0,Dogstar Films,"92.0,"
Play It to the Bone,R,Comedy,1999,"January 21, 2000 (United States)",5.5,12000,RON SHELTON,Ron Shelton,Woody Harrelson,UNITED STATES,24000000,8678812.0,Play It Inc.,"124.0,"
Jakob the Liar,PG-13,Drama,1999,"September 24, 1999 (United States)",6.5,15000,PETER KASSOVITZ,Jurek Becker,Robin Williams,UNITED STATES,45000000,4956401.0,Columbia Pictures,"120.0,"
Cradle Will Rock,R,Drama,1999,"January 21, 2000 (United States)",6.8,8900,TIM ROBBINS,Tim Robbins,Hank Azaria,UNITED STATES,36000000,2986932.0,Cradle Productions Inc.,"132.0,"
Plunkett & Macleane,R,Action,1999,"April 2, 1999 (United Kingdom)",6.4,9700,JAKE SCOTT,Selwyn Roberts,Robert Carlyle,UNITED KINGDOM,0,474900.0,Arts Council of England,"99.0,"
Breakfast of Champions,R,Comedy,1999,"February 18, 1999 (Germany)",4.6,7600,ALAN RUDOLPH,Kurt Vonnegut Jr.,Bruce Willis,UNITED STATES,12000000,178278.0,Flying Heart Films,"110.0,"
The Winslow Boy,G,Drama,1999,"October 29, 1999 (United Kingdom)",7.3,7500,DAVID MAMET,Terence Rattigan,Rebecca Pidgeon,UNITED KINGDOM,0,3957934.0,Winslow Partners Ltd.,"104.0,"
Liberty Heights,R,Comedy,1999,"December 31, 1999 (United States)",7.0,6500,BARRY LEVINSON,Barry Levinson,Adrien Brody,UNITED STATES,0,3736868.0,Baltimore Pictures,"127.0,"
The Color of Paradise,PG,Drama,1999,"September 7, 2000 (Australia)",8.2,16000,MAJID MAJIDI,Majid Majidi,Hossein Mahjoub,IRAN,0,2777552.0,Varahonar Company,"90.0,"
Rosetta,R,Drama,1999,"September 22, 1999 (Belgium)",7.5,13000,JEAN-PIERRE DARDENNE,Jean-Pierre Dardenne,Émilie Dequenne,FRANCE,0,293092.0,ARP Sélection,"95.0,"
Trick,R,Comedy,1999,"July 23, 1999 (United States)",7.2,8400,JIM FALL,Jason Schafer,Christian Campbell,UNITED STATES,450000,2087228.0,Good Machine,"89.0,"
A Room for Romeo Brass,R,Comedy,1999,"February 4, 2000 (United Kingdom)",7.6,5500,SHANE MEADOWS,Robyn Slovo,Martin Arrowsmith,UNITED KINGDOM,0,19478.0,Alliance Atlantis Communications,"90.0,"
An Affair of Love,R,Drama,1999,"September 4, 1999 (France)",7.1,5300,FRÉDÉRIC FONTEYNE,Philippe Blasband,Nathalie Baye,FRANCE,0,401299.0,Artémis Productions,"80.0,"
The Loss of Sexual Innocence,R,Drama,1999,"January 7, 2000 (United Kingdom)",5.4,3100,MIKE FIGGIS,Mike Figgis,Julian Sands,UNITED KINGDOM,4000000,164022.0,Newmarket Capital Group,"106.0,"
Aimee & Jaguar,Not Rated,Biography,1999,"February 11, 1999 (Germany)",7.2,6200,MAX FÄRBERBÖCK,Max Färberböck,Maria Schrader,GERMANY,0,927107.0,Senator Film Produktion,"125.0,"
The Out-of-Towners,PG-13,Comedy,1999,"April 2, 1999 (United States)",5.5,13000,SAM WEISMAN,Neil Simon,Steve Martin,UNITED STATES,75000000,28544120.0,Cherry Alley Productions,"90.0,"
A Map of the World,R,Drama,1999,"January 21, 2000 (United States)",6.6,4100,SCOTT ELLIOTT,Jane Hamilton,Sigourney Weaver,UNITED STATES,0,570708.0,Cinerenta Medienbeteiligungs KG,"125.0,"
The Minus Man,R,Crime,1999,"October 8, 1999 (United States)",6.1,6400,HAMPTON FANCHER,Lew McCreary,Owen Wilson,UNITED STATES,0,370668.0,Shooting Gallery,"111.0,"
8 ½ Women,R,Comedy,1999,"December 10, 1999 (United Kingdom)",5.8,3900,PETER GREENAWAY,Peter Greenaway,John Standing,UNITED KINGDOM,0,437568.0,Woodline Productions,"118.0,"
The King and I,G,Animation,1999,"March 19, 1999 (United States)",4.5,3700,RICHARD RICH,Oscar Hammerstein II,Miranda Richardson,UNITED STATES,25000000,11993021.0,Morgan Creek Entertainment,"87.0,"
Jesus' Son,R,Drama,1999,"July 7, 2000 (United States)",6.9,6900,ALISON MACLEAN,Denis Johnson,Billy Crudup,CANADA,2500000,1302067.0,Evenstar Films,"107.0,"
"Happy, Texas",PG-13,Comedy,1999,"December 3, 1999 (United Kingdom)",6.3,9600,MARK ILLSLEY,Ed Stone,Jeremy Northam,UNITED STATES,2500000,1955933.0,Marked Entertainment,"98.0,"
Joe the King,R,Crime,1999,"January 22, 1999 (United States)",6.7,2600,FRANK WHALEY,Frank Whaley,Noah Fleiss,UNITED STATES,0,60279.0,49th Parallel Productions,"93.0,"
Almost Famous,R,Adventure,2000,"September 22, 2000 (United States)",7.9,260000,CAMERON CROWE,Cameron Crowe,Billy Crudup,UNITED STATES,60000000,47386287.0,Columbia Pictures,"122.0,"
American Psycho,R,Comedy,2000,"April 14, 2000 (United States)",7.6,514000,MARY HARRON,Bret Easton Ellis,Christian Bale,UNITED STATES,7000000,34266564.0,Am Psycho Productions,"101.0,"
Gladiator,R,Action,2000,"May 5, 2000 (United States)",8.5,1400000,RIDLEY SCOTT,David Franzoni,Russell Crowe,UNITED STATES,103000000,465380802.0,Dreamworks Pictures,"155.0,"
Snatch,R,Comedy,2000,"January 19, 2001 (United States)",8.3,800000,GUY RITCHIE,Guy Ritchie,Jason Statham,UNITED KINGDOM,0,83557872.0,Columbia Pictures,"102.0,"
Requiem for a Dream,Unrated,Drama,2000,"December 15, 2000 (United States)",8.3,786000,DARREN ARONOFSKY,Hubert Selby Jr.,Ellen Burstyn,UNITED STATES,4500000,7390108.0,Artisan Entertainment,"102.0,"
Memento,R,Mystery,2000,"May 25, 2001 (United States)",8.4,1200000,CHRISTOPHER NOLAN,Christopher Nolan,Guy Pearce,UNITED STATES,9000000,40047078.0,Newmarket Capital Group,"113.0,"
Malena,R,Comedy,2000,"February 2, 2001 (United States)",7.5,94000,GIUSEPPE TORNATORE,Giuseppe Tornatore,Monica Bellucci,ITALY,0,14493284.0,Medusa Film,"108.0,"
Cast Away,PG-13,Adventure,2000,"December 22, 2000 (United States)",7.8,542000,ROBERT ZEMECKIS,William Broyles Jr.,Tom Hanks,UNITED STATES,90000000,429632142.0,Twentieth Century Fox,"143.0,"
Scary Movie,R,Comedy,2000,"July 7, 2000 (United States)",6.2,238000,KEENEN IVORY WAYANS,Shawn Wayans,Anna Faris,UNITED STATES,19000000,278019771.0,Dimension Films,"88.0,"
The Perfect Storm,PG-13,Action,2000,"June 30, 2000 (United States)",6.4,160000,WOLFGANG PETERSEN,Sebastian Junger,George Clooney,UNITED STATES,140000000,328718434.0,Warner Bros.,"130.0,"
Coyote Ugly,PG-13,Comedy,2000,"August 4, 2000 (United States)",5.7,108000,DAVID MCNALLY,Gina Wendkos,Piper Perabo,UNITED STATES,45000000,113916474.0,Touchstone Pictures,"100.0,"
X-Men,PG-13,Action,2000,"July 14, 2000 (United States)",7.4,582000,BRYAN SINGER,Tom DeSanto,Patrick Stewart,UNITED STATES,75000000,296339528.0,Twentieth Century Fox,"104.0,"
Space Cowboys,PG-13,Action,2000,"August 4, 2000 (United States)",6.4,75000,CLINT EASTWOOD,Ken Kaufman,Clint Eastwood,UNITED STATES,65000000,128884132.0,Clipsal Films,"130.0,"
The Patriot,R,Action,2000,"June 28, 2000 (United States)",7.2,260000,ROLAND EMMERICH,Robert Rodat,Mel Gibson,UNITED STATES,110000000,215294342.0,Columbia Pictures,"165.0,"
Erin Brockovich,R,Biography,2000,"March 17, 2000 (United States)",7.4,182000,STEVEN SODERBERGH,Susannah Grant,Julia Roberts,UNITED STATES,52000000,256271286.0,Universal Pictures,"131.0,"
Unbreakable,PG-13,Drama,2000,"November 22, 2000 (United States)",7.3,396000,M. NIGHT SHYAMALAN,M. Night Shyamalan,Bruce Willis,UNITED STATES,75000000,248118121.0,Touchstone Pictures,"106.0,"
Charlie's Angels,PG-13,Action,2000,"November 3, 2000 (United States)",5.6,179000,MCG,Ryan Rowe,Cameron Diaz,UNITED STATES,93000000,264105545.0,Columbia Pictures,"98.0,"
Road Trip,R,Comedy,2000,"May 19, 2000 (United States)",6.4,161000,TODD PHILLIPS,Todd Phillips,Breckin Meyer,UNITED STATES,16000000,119754278.0,Dreamworks Pictures,"93.0,"
The Beach,R,Adventure,2000,"February 11, 2000 (United States)",6.7,228000,DANNY BOYLE,John Hodge,Leonardo DiCaprio,UNITED STATES,50000000,144056873.0,Figment Films,"119.0,"
Bring It on,PG-13,Comedy,2000,"August 25, 2000 (United States)",6.0,90000,PEYTON REED,Jessica Bendinger,Kirsten Dunst,UNITED STATES,11000000,90449929.0,Beacon Communications,"98.0,"
Remember the Titans,PG,Biography,2000,"September 29, 2000 (United States)",7.8,202000,BOAZ YAKIN,Gregory Allen Howard,Denzel Washington,UNITED STATES,30000000,136771683.0,Jerry Bruckheimer Films,"113.0,"
Mission: Impossible II,PG-13,Action,2000,"May 24, 2000 (United States)",6.1,322000,JOHN WOO,Bruce Geller,Tom Cruise,UNITED STATES,125000000,546388108.0,Paramount Pictures,"123.0,"
"O Brother, Where Art Thou?",PG-13,Adventure,2000,"February 2, 2001 (United States)",7.7,295000,JOEL COEN,Homer,George Clooney,UNITED KINGDOM,26000000,71870729.0,Touchstone Pictures,"107.0,"
The 6th Day,PG-13,Action,2000,"November 17, 2000 (United States)",5.9,118000,ROGER SPOTTISWOODE,Cormac Wibberley,Arnold Schwarzenegger,UNITED STATES,82000000,96085477.0,Phoenix Pictures,"123.0,"
Chicken Run,G,Animation,2000,"June 23, 2000 (United States)",7.0,181000,PETER LORD,Peter Lord,Mel Gibson,UNITED STATES,45000000,224834564.0,Aardman Animations,"84.0,"
The Cell,R,Crime,2000,"August 18, 2000 (United States)",6.4,97000,TARSEM SINGH,Mark Protosevich,Jennifer Lopez,UNITED STATES,33000000,104155843.0,New Line Cinema,"107.0,"
Final Destination,R,Horror,2000,"March 17, 2000 (United States)",6.7,236000,JAMES WONG,Glen Morgan,Devon Sawa,UNITED STATES,23000000,112880294.0,New Line Cinema,"98.0,"
Traffic,R,Crime,2000,"January 5, 2001 (United States)",7.6,199000,STEVEN SODERBERGH,Simon Moore,Michael Douglas,UNITED STATES,48000000,207515725.0,Compulsion Inc.,"147.0,"
Sexy Beast,R,Crime,2000,"July 13, 2001 (United States)",7.3,57000,JONATHAN GLAZER,Louis Mellis,Ray Winstone,UNITED KINGDOM,0,10045677.0,Recorded Picture Company (RPC),"89.0,"
In the Mood for Love,PG,Drama,2000,"March 9, 2001 (United States)",8.1,133000,KAR-WAI WONG,Kar-Wai Wong,Tony Chiu-Wai Leung,HONG KONG,0,14244250.0,Block 2 Pictures,"98.0,"
